shipment_id,carrier,ship_date,status,origin,destination,freight_cost
SH00088,BLUEDART,2024-03-14,Pending,Mumbai,Bangalore,90.67
SH00089,DHL,2024-01-08,,Delhi,Mumbai,75.25
SH00090,FEDEX,2024-01-21,IN_TRANSIT,Hyderabad,Bangalore,328.87
SH00091,FEDEX,2024-01-03,delayed,Pune,Chennai,455.54
SH00092,FEDEX,2024-04-18,delayed,Hyderabad,Mumbai,430.39
SH00093,DHL,2024-06-28,,Delhi,Chennai,346.2
SH00094,BLUEDART,2024-03-14,in_transit,Mumbai,Pune,323.18
SH00095,BLUEDART,2024-06-14,,Chennai,Delhi,248.37
SH00096,FEDEX,2024-02-03,In Transit,Pune,Chennai,288.88
SH00097,FEDEX,2024-04-29,DELIVERED,Pune,Mumbai,389.37
SH00098,FEDEX,not-a-date,Delayed,Hyderabad,Mumbai,105.61
SH00099,FEDEX,not-a-date,Delayed,Pune,Delhi,197.6
SH00100,FEDEX,2024-01-12,in-transit,Pune,Chennai,498.17
SH00101,FEDEX,2024-06-27,IN_TRANSIT,Delhi,Chennai,314.3
SH00102,FEDEX,2024-03-12,In Transit,Hyderabad,Chennai,147.77
SH00103,BLUEDART,2024-03-11,Delivered,Pune,Mumbai,477.05
SH00104,BLUEDART,2024-03-26,DELIVERED,Hyderabad,Delhi,404.14
SH00105,BLUEDART,2024-02-07,DELAYED,Chennai,Bangalore,51.28
SH00106,FEDEX,2024-01-07,In Transit,Chennai,Delhi,405.49
SH00107,DHL,2024-01-17,,Chennai,Pune,212.92
SH00108,BLUEDART,2024-01-08,delayed,Mumbai,Chennai,431.28
SH00109,FEDEX,2024-02-07,in-transit,Mumbai,Delhi,330.94
SH00110,BLUEDART,2024-06-03,,Hyderabad,Mumbai,365.8
SH00111,BLUEDART,2024-02-28,,Chennai,Pune,254.07
SH00112,BLUEDART,2024-06-24,Delivered,Pune,Mumbai,91.05
SH00113,FEDEX,2024-05-23,pending,Chennai,Delhi,105.0
SH00114,BLUEDART,2024-03-31,Delayed,Mumbai,Chennai,145.73
SH00115,BLUEDART,2024-05-26,IN_TRANSIT,Pune,Delhi,430.32
SH00116,BLUEDART,2024-06-17,in-transit,Hyderabad,Delhi,63.03
SH00117,FEDEX,2024-05-24,Delivered,Mumbai,Bangalore,113.84
SH00118,DHL,2024-02-10,Pending,Delhi,Pune,195.97
SH00119,DHL,2024-03-10,IN_TRANSIT,Chennai,Delhi,268.55
SH00120,DHL,2024-06-22,delayed,Pune,Chennai,287.12
SH00121,DHL,2024-02-24,,Mumbai,Bangalore,4241.04
SH00122,FEDEX,2024-06-20,Delivered,Hyderabad,Bangalore,228.68
SH00123,DHL,2024-06-12,Delivered,Pune,Chennai,232.26
SH00124,FEDEX,2024-01-28,DELAYED,Pune,Delhi,230.2
SH00125,DHL,2024-06-11,Delayed,Pune,Bangalore,137.26
SH00126,BLUEDART,2024-03-06,DELAYED,Chennai,Bangalore,118.79
SH00127,BLUEDART,2024-05-28,DELAYED,Delhi,Pune,339.35
SH00128,FEDEX,2024-04-23,,Chennai,Pune,173.6
SH00129,FEDEX,2024-03-14,,Mumbai,Delhi,489.82
SH00130,BLUEDART,2024-05-26,In Transit,Hyderabad,Delhi,322.25
SH00131,FEDEX,2024-04-22,Delayed,Mumbai,Bangalore,285.24
SH00132,FEDEX,2024-06-14,In Transit,Pune,Delhi,92.53
SH00133,BLUEDART,2024-05-29,In Transit,Hyderabad,Bangalore,189.6
SH00134,BLUEDART,2024-06-13,,Mumbai,Chennai,107.51
SH00135,BLUEDART,2024-01-05,DELIVERED,Mumbai,Pune,478.03
SH00136,DHL,2024-01-26,Delayed,Chennai,Delhi,425.8
SH00137,BLUEDART,2024-02-16,,Chennai,Pune,331.13
SH00138,FEDEX,2024-04-24,in_transit,Chennai,Pune,189.26
SH00139,FEDEX,2024-03-13,Delayed,Hyderabad,Chennai,287.36
SH00140,DHL,2024-04-05,Delivered,Pune,Delhi,370.13
SH00141,DHL,2024-02-07,Delivered,Pune,Chennai,475.89
SH00142,DHL,2024-04-05,Delivered,Delhi,Bangalore,218.71
SH00143,BLUEDART,2024-03-14,delayed,Pune,Bangalore,363.23
SH00144,DHL,2024-02-08,Pending,Mumbai,Delhi,324.0
SH00145,DHL,2024-06-08,Delivered,Mumbai,Bangalore,426.51
SH00146,BLUEDART,2024-01-01,in_transit,Chennai,Bangalore,306.8
SH00147,FEDEX,2024-04-30,IN_TRANSIT,Mumbai,Delhi,491.47
SH00148,FEDEX,2024-03-26,In Transit,Chennai,Delhi,295.71
SH00149,FEDEX,2024-01-17,delayed,Delhi,Mumbai,66.64
SH00150,FEDEX,2024-05-19,delivered,Pune,Chennai,388.98
SH00151,BLUEDART,2024-04-04,IN_TRANSIT,Pune,Mumbai,384.49
SH00152,FEDEX,2024-05-12,Delivered,Delhi,Chennai,377.19
SH00153,BLUEDART,2024-03-24,in-transit,Pune,Mumbai,250.66
SH00154,FEDEX,2024-04-21,,Mumbai,Chennai,476.56
SH00155,BLUEDART,2024-06-04,delayed,Chennai,Delhi,65.66
SH00156,FEDEX,2024-06-22,In Transit,Hyderabad,Delhi,217.41
SH00157,FEDEX,not-a-date,DELIVERED,Pune,Mumbai,274.57
SH00158,FEDEX,2024-03-14,delayed,Delhi,Mumbai,140.08
SH00159,BLUEDART,2024-03-22,Pending,Delhi,Bangalore,79.22
SH00160,BLUEDART,2024-02-01,,Chennai,Mumbai,112.49
SH00161,FEDEX,2024-01-23,IN_TRANSIT,Delhi,Mumbai,499.82
SH00162,BLUEDART,2024-06-13,delayed,Mumbai,Bangalore,356.05
SH00163,BLUEDART,2024-02-03,,Hyderabad,Bangalore,74.94
SH00164,FEDEX,2024-05-12,,Chennai,Mumbai,85.49
SH00165,BLUEDART,2024-02-13,DELAYED,Pune,Delhi,119.39
SH00166,BLUEDART,2024-06-13,in-transit,Mumbai,Delhi,343.01
SH00167,FEDEX,2024-03-18,,Hyderabad,Mumbai,413.31
SH00168,DHL,2024-02-22,DELIVERED,Delhi,Pune,190.66
SH00169,FEDEX,2024-01-28,delayed,Chennai,Mumbai,105.13
SH00170,FEDEX,2024-02-10,DELAYED,Hyderabad,Chennai,374.51
SH00171,FEDEX,2024-01-24,Delayed,Delhi,Chennai,255.75
SH00172,FEDEX,2024-01-03,IN_TRANSIT,Delhi,Pune,110.27
SH00173,DHL,2024-02-19,in-transit,Delhi,Bangalore,83.09
SH00174,BLUEDART,2024-01-25,,Hyderabad,Delhi,494.05
SH00175,BLUEDART,2024-01-12,Pending,Hyderabad,Chennai,199.87
SH00176,BLUEDART,2024-03-22,DELAYED,Chennai,Mumbai,382.69
SH00177,BLUEDART,2024-01-05,pending,Delhi,Chennai,99.32
SH00178,BLUEDART,2024-06-16,,Mumbai,Pune,310.31
SH00179,BLUEDART,2024-06-23,DELAYED,Hyderabad,Chennai,476.69
SH00180,DHL,2024-06-05,,Delhi,Mumbai,431.77
SH00181,BLUEDART,2024-03-21,delayed,Pune,Chennai,460.46
SH00182,BLUEDART,2024-03-04,in-transit,Pune,Chennai,151.19
SH00183,DHL,2024-05-23,,Delhi,Chennai,374.75
SH00184,FEDEX,2024-03-14,Delivered,Pune,Bangalore,205.86
SH00185,DHL,2024-06-27,Delivered,Hyderabad,Mumbai,327.05
SH00186,BLUEDART,2024-04-15,delayed,Chennai,Bangalore,3651.06
SH00187,FEDEX,2024-03-14,pending,Delhi,Pune,76.62
SH00188,BLUEDART,2024-02-15,delivered,Mumbai,Bangalore,498.73
SH00189,FEDEX,2024-06-03,In Transit,Mumbai,Delhi,178.05
SH00190,DHL,2024-01-29,Pending,Hyderabad,Chennai,256.51
SH00191,FEDEX,2024-06-12,,Hyderabad,Bangalore,242.47
SH00192,DHL,2024-01-02,in_transit,Delhi,Chennai,251.03
SH00193,BLUEDART,2024-06-26,pending,Mumbai,Chennai,103.2
SH00194,BLUEDART,2024-03-16,in_transit,Pune,Delhi,148.61
SH00195,BLUEDART,2024-04-30,,Pune,Chennai,348.84
SH00196,DHL,2024-04-02,DELAYED,Hyderabad,Chennai,100.49
SH00197,BLUEDART,2024-05-13,pending,Chennai,Bangalore,142.43
SH00198,DHL,2024-04-26,Delayed,Delhi,Mumbai,258.07
SH00199,DHL,2024-03-29,Delayed,Chennai,Delhi,497.36
SH00200,DHL,2024-02-04,Pending,Pune,Chennai,340.65
SH00201,FEDEX,2024-06-18,DELIVERED,Delhi,Bangalore,344.09
SH00202,BLUEDART,2024-01-06,delayed,Chennai,Bangalore,353.07
SH00203,DHL,2024-02-18,Pending,Delhi,Chennai,394.47
SH00204,DHL,2024-06-01,DELAYED,Chennai,Bangalore,352.41
SH00205,FEDEX,2024-01-15,in-transit,Chennai,Bangalore,155.37
SH00206,BLUEDART,2024-02-06,Delayed,Pune,Bangalore,149.47
SH00207,BLUEDART,2024-01-13,pending,Chennai,Pune,352.1
SH00208,DHL,2024-05-17,,Pune,Chennai,151.41
SH00209,DHL,2024-05-22,IN_TRANSIT,Hyderabad,Chennai,159.29
SH00210,FEDEX,2024-04-06,DELAYED,Mumbai,Bangalore,67.8
SH00211,BLUEDART,2024-03-26,delivered,Hyderabad,Bangalore,145.31
SH00212,FEDEX,2024-03-02,,Chennai,Bangalore,177.38
SH00213,FEDEX,2024-04-30,In Transit,Hyderabad,Chennai,461.45
SH00214,DHL,2024-05-29,IN_TRANSIT,Chennai,Delhi,182.84
SH00215,DHL,2024-05-05,pending,Delhi,Chennai,382.82
SH00216,DHL,2024-05-18,delivered,Hyderabad,Chennai,285.77
SH00217,DHL,2024-06-10,Pending,Mumbai,Pune,117.96
SH00218,BLUEDART,not-a-date,Delayed,Hyderabad,Chennai,235.1
SH00219,FEDEX,2024-02-15,Delivered,Mumbai,Pune,285.97
SH00220,FEDEX,2024-04-13,in_transit,Pune,Chennai,495.6
SH00221,BLUEDART,2024-04-06,delivered,Mumbai,Delhi,336.54
SH00222,BLUEDART,2024-01-11,,Pune,Delhi,361.53
SH00223,BLUEDART,not-a-date,in_transit,Pune,Delhi,314.17
SH00224,DHL,2024-05-25,IN_TRANSIT,Pune,Bangalore,354.67
SH00225,BLUEDART,2024-04-21,Delivered,Mumbai,Chennai,203.27
SH00226,FEDEX,2024-04-25,In Transit,Mumbai,Chennai,298.87
SH00227,FEDEX,2024-01-19,DELIVERED,Mumbai,Chennai,221.0
,FEDEX,2024-03-19,,Mumbai,Delhi,171.39
SH00229,BLUEDART,2024-01-23,Delivered,Hyderabad,Chennai,318.62
SH00106,FEDEX,2024-02-13,DELIVERED,Mumbai,Bangalore,112.48
SH00231,FEDEX,2024-01-20,in_transit,Pune,Chennai,374.4
SH00232,DHL,2024-03-26,IN_TRANSIT,Pune,Delhi,411.83
SH00233,BLUEDART,2024-06-03,in_transit,Hyderabad,Bangalore,265.55
SH00234,BLUEDART,2024-03-12,IN_TRANSIT,Delhi,Mumbai,214.26
SH00235,DHL,2024-04-28,in_transit,Hyderabad,Delhi,247.3
SH00236,FEDEX,2024-03-02,DELIVERED,Delhi,Mumbai,371.86
SH00237,FEDEX,2024-06-26,delivered,Hyderabad,Chennai,405.82
SH00238,BLUEDART,2024-06-17,DELIVERED,Mumbai,Delhi,341.15
SH00239,FEDEX,2024-01-26,Delayed,Pune,Chennai,386.08
SH00240,FEDEX,2024-05-30,DELIVERED,Delhi,Pune,205.24
SH00241,DHL,2024-03-28,in_transit,Mumbai,Bangalore,284.5
SH00242,FEDEX,not-a-date,In Transit,Pune,Delhi,341.59
SH00243,DHL,2024-03-25,delayed,Hyderabad,Bangalore,154.33
SH00244,FEDEX,2024-02-20,IN_TRANSIT,Delhi,Bangalore,224.98
SH00245,DHL,2024-05-17,In Transit,Hyderabad,Delhi,138.68
SH00246,BLUEDART,2024-05-30,In Transit,Pune,Chennai,430.48
SH00247,FEDEX,2024-02-04,in_transit,Hyderabad,Pune,187.42
SH00248,FEDEX,2024-04-18,pending,Hyderabad,Bangalore,291.82
SH00249,DHL,2024-03-21,DELAYED,Delhi,Chennai,2409.6
SH00250,BLUEDART,2024-05-05,,Hyderabad,Chennai,249.73
SH00251,DHL,2024-05-17,,Pune,Delhi,255.79
SH00252,DHL,2024-05-19,In Transit,Hyderabad,Delhi,293.92
SH00253,DHL,2024-06-16,in-transit,Delhi,Bangalore,443.66
SH00254,DHL,2024-03-01,Pending,Delhi,Bangalore,314.57
SH00255,DHL,2024-02-22,DELAYED,Hyderabad,Bangalore,207.87
SH00256,BLUEDART,2024-05-11,pending,Pune,Mumbai,416.83
SH00257,DHL,2024-02-03,Pending,Pune,Bangalore,194.94
SH00258,DHL,2024-04-06,pending,Hyderabad,Mumbai,407.57
SH00259,BLUEDART,2024-03-24,,Pune,Chennai,398.36
SH00260,BLUEDART,2024-04-11,IN_TRANSIT,Pune,Delhi,421.18
SH00261,BLUEDART,2024-05-04,pending,Hyderabad,Bangalore,393.01
SH00262,DHL,2024-01-01,IN_TRANSIT,Mumbai,Bangalore,141.04
SH00263,DHL,2024-03-05,pending,Pune,Delhi,456.71
SH00264,BLUEDART,not-a-date,delayed,Chennai,Pune,85.07
SH00265,DHL,2024-04-18,delayed,Pune,Delhi,81.87
SH00266,FEDEX,2024-02-04,pending,Pune,Mumbai,3950.06
SH00267,BLUEDART,2024-06-06,,Chennai,Bangalore,147.76
SH00268,BLUEDART,2024-03-21,in_transit,Delhi,Chennai,174.64
SH00269,BLUEDART,2024-06-17,in_transit,Pune,Delhi,282.99
SH00270,DHL,2024-03-02,DELAYED,Chennai,Pune,81.96
SH00271,FEDEX,2024-05-25,Delayed,Chennai,Pune,357.32
,DHL,2024-02-25,delivered,Hyderabad,Delhi,476.91
SH00273,FEDEX,2024-05-17,DELIVERED,Delhi,Pune,174.86
SH00274,DHL,2024-06-11,pending,Hyderabad,Mumbai,356.48
SH00275,DHL,2024-04-21,DELAYED,Mumbai,Bangalore,323.97
SH00276,DHL,2024-02-11,In Transit,Mumbai,Bangalore,285.35
SH00277,DHL,2024-01-08,IN_TRANSIT,Pune,Delhi,172.39
SH00278,DHL,2024-01-15,DELAYED,Delhi,Pune,125.1
SH00279,BLUEDART,2024-01-01,,Mumbai,Bangalore,55.53
SH00280,DHL,2024-03-04,Pending,Mumbai,Pune,193.97
SH00281,BLUEDART,2024-05-12,IN_TRANSIT,Mumbai,Bangalore,81.02
,FEDEX,2024-02-21,,Mumbai,Pune,186.76
SH00283,FEDEX,not-a-date,Delayed,Chennai,Bangalore,205.89
SH00284,DHL,2024-05-15,IN_TRANSIT,Delhi,Chennai,271.41
SH00285,DHL,2024-05-13,In Transit,Mumbai,Bangalore,256.31
SH00286,BLUEDART,2024-01-16,DELIVERED,Delhi,Bangalore,156.55
SH00287,BLUEDART,2024-02-29,in_transit,Pune,Mumbai,111.25
SH00288,FEDEX,2024-05-17,,Delhi,Chennai,143.44
SH00289,DHL,2024-03-24,Pending,Pune,Delhi,161.7
SH00290,FEDEX,2024-04-25,Delayed,Chennai,Delhi,162.43
SH00291,DHL,2024-04-12,pending,Mumbai,Bangalore,471.91
SH00292,DHL,2024-06-14,DELIVERED,Mumbai,Delhi,91.39
SH00293,FEDEX,2024-04-20,IN_TRANSIT,Mumbai,Bangalore,273.26
SH00294,DHL,2024-02-08,DELAYED,Pune,Mumbai,327.64
SH00295,FEDEX,2024-02-05,pending,Mumbai,Delhi,448.09
SH00296,DHL,2024-05-04,DELAYED,Delhi,Chennai,276.08
SH00297,DHL,2024-04-30,,Mumbai,Chennai,312.8
SH00298,DHL,2024-02-26,,Pune,Delhi,224.79
SH00299,DHL,2024-06-27,DELAYED,Hyderabad,Mumbai,62.69
SH00300,BLUEDART,2024-02-14,Delivered,Chennai,Pune,75.28
SH00301,FEDEX,2024-03-28,,Hyderabad,Bangalore,429.93
SH00302,DHL,2024-04-05,pending,Mumbai,Chennai,228.02
SH00303,DHL,2024-02-14,Delayed,Delhi,Pune,362.1
SH00304,BLUEDART,2024-06-25,DELIVERED,Chennai,Pune,377.97
SH00305,BLUEDART,2024-06-05,DELAYED,Mumbai,Bangalore,96.85
SH00306,FEDEX,2024-01-23,pending,Pune,Bangalore,337.6
SH00307,DHL,2024-01-28,delivered,Mumbai,Chennai,223.67
SH00308,FEDEX,2024-01-26,,Delhi,Chennai,438.82
SH00309,DHL,2024-03-07,Delivered,Mumbai,Chennai,203.81
SH00310,DHL,2024-04-20,DELIVERED,Pune,Chennai,323.29
SH00311,DHL,2024-03-17,delivered,Delhi,Chennai,226.81
SH00312,DHL,2024-06-18,delayed,Delhi,Bangalore,139.85
SH00313,DHL,2024-04-11,pending,Delhi,Bangalore,169.25
SH00314,FEDEX,2024-03-08,in-transit,Pune,Bangalore,151.81
SH00315,BLUEDART,2024-05-18,,Mumbai,Delhi,315.38
SH00316,FEDEX,2024-03-01,Delivered,Hyderabad,Chennai,227.66
SH00317,BLUEDART,2024-04-24,DELIVERED,Hyderabad,Pune,487.47
SH00318,BLUEDART,2024-06-09,DELAYED,Delhi,Mumbai,166.05
SH00319,FEDEX,2024-03-11,,Hyderabad,Chennai,55.56
SH00320,DHL,2024-05-30,Delivered,Delhi,Mumbai,466.22
SH00321,BLUEDART,2024-06-16,DELAYED,Pune,Chennai,262.87
SH00322,BLUEDART,2024-03-25,delivered,Delhi,Bangalore,385.59
SH00323,FEDEX,2024-06-27,,Pune,Mumbai,152.58
SH00324,FEDEX,2024-01-23,in_transit,Pune,Chennai,461.04
SH00325,FEDEX,2024-05-09,,Mumbai,Bangalore,433.08
SH00326,DHL,2024-01-13,Pending,Mumbai,Bangalore,139.6
SH00327,DHL,2024-06-01,,Mumbai,Bangalore,263.56
SH00328,FEDEX,2024-01-13,DELAYED,Mumbai,Chennai,400.92
SH00329,DHL,not-a-date,DELIVERED,Pune,Chennai,2757.17
SH00330,FEDEX,2024-03-30,in_transit,Pune,Chennai,260.01
SH00331,DHL,2024-06-01,in-transit,Mumbai,Chennai,357.99
SH00332,FEDEX,2024-06-15,DELIVERED,Pune,Mumbai,282.78
SH00333,BLUEDART,2024-01-07,in-transit,Delhi,Chennai,166.74
SH00334,BLUEDART,2024-02-26,pending,Hyderabad,Bangalore,403.2
SH00335,DHL,2024-04-30,in-transit,Hyderabad,Bangalore,376.33
SH00336,FEDEX,2024-03-19,In Transit,Mumbai,Bangalore,217.26
SH00337,DHL,2024-01-19,in_transit,Hyderabad,Pune,275.21
SH00338,DHL,2024-03-28,DELAYED,Chennai,Bangalore,451.78
SH00339,DHL,2024-02-15,delivered,Mumbai,Pune,52.12
SH00340,DHL,2024-04-21,IN_TRANSIT,Delhi,Bangalore,3601.35
,DHL,2024-01-02,in_transit,Pune,Bangalore,151.82
SH00342,BLUEDART,2024-01-12,in-transit,Hyderabad,Mumbai,255.17
SH00343,BLUEDART,2024-05-05,in_transit,Chennai,Mumbai,124.2
SH00115,BLUEDART,2024-05-30,Delivered,Chennai,Bangalore,214.97
SH00345,FEDEX,2024-01-13,pending,Hyderabad,Pune,426.25
SH00346,DHL,2024-02-09,pending,Hyderabad,Mumbai,333.64
SH00347,FEDEX,2024-04-17,Delivered,Hyderabad,Pune,280.21
SH00348,FEDEX,2024-05-13,In Transit,Chennai,Bangalore,366.55
SH00349,DHL,2024-01-04,Delivered,Delhi,Chennai,425.85
SH00350,BLUEDART,2024-06-13,in-transit,Mumbai,Delhi,168.86
SH00351,FEDEX,2024-01-30,,Pune,Mumbai,-43.22
SH00352,FEDEX,2024-01-24,In Transit,Hyderabad,Mumbai,132.29
SH00353,FEDEX,2024-02-12,Pending,Delhi,Pune,376.89
SH00354,BLUEDART,2024-04-07,DELAYED,Delhi,Pune,62.97
SH00355,DHL,2024-04-15,Delivered,Delhi,Pune,167.73
SH00356,BLUEDART,2024-06-20,Delayed,Hyderabad,Pune,285.4
SH00357,DHL,2024-06-13,,Delhi,Chennai,421.9
SH00081,BLUEDART,2024-01-20,In Transit,Delhi,Pune,158.4
SH00359,BLUEDART,2024-01-21,,Delhi,Pune,307.87
SH00360,FEDEX,2024-01-10,delivered,Mumbai,Delhi,421.66
SH00361,BLUEDART,2024-04-26,In Transit,Hyderabad,Bangalore,421.39
SH00362,BLUEDART,2024-04-03,Delivered,Hyderabad,Chennai,3065.42
SH00363,FEDEX,2024-01-28,DELIVERED,Hyderabad,Pune,271.59
SH00364,FEDEX,2024-04-10,,Hyderabad,Bangalore,401.64
SH00365,BLUEDART,2024-04-25,DELAYED,Hyderabad,Delhi,480.29
SH00366,DHL,2024-05-03,,Hyderabad,Chennai,464.52
SH00367,DHL,2024-06-04,Delayed,Mumbai,Pune,446.63
SH00368,DHL,2024-03-16,DELIVERED,Pune,Chennai,112.18
SH00369,BLUEDART,2024-05-21,in_transit,Hyderabad,Mumbai,144.37
SH00370,DHL,2024-03-31,DELAYED,Chennai,Mumbai,306.79
SH00371,BLUEDART,2024-05-13,IN_TRANSIT,Pune,Chennai,115.4
SH00372,DHL,2024-01-16,in-transit,Pune,Mumbai,141.8
SH00373,BLUEDART,2024-05-23,Delayed,Hyderabad,Bangalore,402.94
SH00374,FEDEX,2024-06-24,Delayed,Delhi,Pune,74.21
SH00375,FEDEX,2024-05-19,in_transit,Chennai,Mumbai,399.27
SH00376,BLUEDART,2024-05-11,delivered,Mumbai,Bangalore,242.83
SH00377,FEDEX,2024-02-09,In Transit,Mumbai,Chennai,318.6
