shipment_id,carrier,ship_date,status,origin,destination,freight_cost,cost_flag
SH00074,BLUEDART,2024-05-06,delayed,Delhi,Chennai,67.94,False
SH00075,DHL,2024-06-21,delayed,Chennai,Delhi,68.1,False
SH00076,FEDEX,2024-05-05,delayed,Chennai,Pune,206.58,False
SH00077,FEDEX,2024-04-12,delayed,Delhi,Pune,66.51,False
SH00078,FEDEX,2024-05-18,delivered,Hyderabad,Delhi,134.41,False
SH00079,DHL,2024-03-14,pending,Chennai,Mumbai,268.12,False
SH00080,BLUEDART,2024-05-21,in_transit,Chennai,Mumbai,496.52,False
SH00081,DHL,2024-03-10,delayed,Delhi,Chennai,491.11,False
SH00082,BLUEDART,2024-03-11,,Hyderabad,Bangalore,236.72,False
SH00083,FEDEX,2024-04-24,in_transit,Pune,Chennai,199.6,False
SH00084,DHL,2024-04-15,pending,Chennai,Pune,262.84,False
SH00085,BLUEDART,2024-02-02,delayed,Chennai,Pune,199.4,False
SH00086,FEDEX,2024-06-16,delivered,Mumbai,Bangalore,261.27,False
SH00087,BLUEDART,2024-05-16,in_transit,Mumbai,Chennai,332.06,False
SH00088,BLUEDART,2024-03-14,pending,Mumbai,Bangalore,90.67,False
SH00089,DHL,2024-01-08,,Delhi,Mumbai,75.25,False
SH00090,FEDEX,2024-01-21,in_transit,Hyderabad,Bangalore,328.87,False
SH00091,FEDEX,2024-01-03,delayed,Pune,Chennai,455.54,False
SH00092,FEDEX,2024-04-18,delayed,Hyderabad,Mumbai,430.39,False
SH00093,DHL,2024-06-28,,Delhi,Chennai,346.2,False
SH00094,BLUEDART,2024-03-14,in_transit,Mumbai,Pune,323.18,False
SH00095,BLUEDART,2024-06-14,,Chennai,Delhi,248.37,False
SH00096,FEDEX,2024-02-03,in_transit,Pune,Chennai,288.88,False
SH00097,FEDEX,2024-04-29,delivered,Pune,Mumbai,389.37,False
SH00100,FEDEX,2024-01-12,in_transit,Pune,Chennai,498.17,False
SH00101,FEDEX,2024-06-27,in_transit,Delhi,Chennai,314.3,False
SH00102,FEDEX,2024-03-12,in_transit,Hyderabad,Chennai,147.77,False
SH00103,BLUEDART,2024-03-11,delivered,Pune,Mumbai,477.05,False
SH00104,BLUEDART,2024-03-26,delivered,Hyderabad,Delhi,404.14,False
SH00105,BLUEDART,2024-02-07,delayed,Chennai,Bangalore,51.28,False
SH00106,FEDEX,2024-01-07,in_transit,Chennai,Delhi,405.49,False
SH00107,DHL,2024-01-17,,Chennai,Pune,212.92,False
SH00108,BLUEDART,2024-01-08,delayed,Mumbai,Chennai,431.28,False
SH00109,FEDEX,2024-02-07,in_transit,Mumbai,Delhi,330.94,False
SH00110,BLUEDART,2024-06-03,,Hyderabad,Mumbai,365.8,False
SH00111,BLUEDART,2024-02-28,,Chennai,Pune,254.07,False
SH00112,BLUEDART,2024-06-24,delivered,Pune,Mumbai,91.05,False
SH00113,FEDEX,2024-05-23,pending,Chennai,Delhi,105.0,False
SH00114,BLUEDART,2024-03-31,delayed,Mumbai,Chennai,145.73,False
SH00115,BLUEDART,2024-05-26,in_transit,Pune,Delhi,430.32,False
SH00116,BLUEDART,2024-06-17,in_transit,Hyderabad,Delhi,63.03,False
SH00117,FEDEX,2024-05-24,delivered,Mumbai,Bangalore,113.84,False
SH00118,DHL,2024-02-10,pending,Delhi,Pune,195.97,False
SH00119,DHL,2024-03-10,in_transit,Chennai,Delhi,268.55,False
SH00120,DHL,2024-06-22,delayed,Pune,Chennai,287.12,False
SH00121,DHL,2024-02-24,,Mumbai,Bangalore,4241.04,True
SH00122,FEDEX,2024-06-20,delivered,Hyderabad,Bangalore,228.68,False
SH00123,DHL,2024-06-12,delivered,Pune,Chennai,232.26,False
SH00124,FEDEX,2024-01-28,delayed,Pune,Delhi,230.2,False
SH00125,DHL,2024-06-11,delayed,Pune,Bangalore,137.26,False
SH00126,BLUEDART,2024-03-06,delayed,Chennai,Bangalore,118.79,False
SH00127,BLUEDART,2024-05-28,delayed,Delhi,Pune,339.35,False
SH00128,FEDEX,2024-04-23,,Chennai,Pune,173.6,False
SH00129,FEDEX,2024-03-14,,Mumbai,Delhi,489.82,False
SH00130,BLUEDART,2024-05-26,in_transit,Hyderabad,Delhi,322.25,False
SH00131,FEDEX,2024-04-22,delayed,Mumbai,Bangalore,285.24,False
SH00132,FEDEX,2024-06-14,in_transit,Pune,Delhi,92.53,False
SH00133,BLUEDART,2024-05-29,in_transit,Hyderabad,Bangalore,189.6,False
SH00134,BLUEDART,2024-06-13,,Mumbai,Chennai,107.51,False
SH00135,BLUEDART,2024-01-05,delivered,Mumbai,Pune,478.03,False
SH00136,DHL,2024-01-26,delayed,Chennai,Delhi,425.8,False
SH00137,BLUEDART,2024-02-16,,Chennai,Pune,331.13,False
SH00138,FEDEX,2024-04-24,in_transit,Chennai,Pune,189.26,False
SH00139,FEDEX,2024-03-13,delayed,Hyderabad,Chennai,287.36,False
SH00140,DHL,2024-04-05,delivered,Pune,Delhi,370.13,False
SH00141,DHL,2024-02-07,delivered,Pune,Chennai,475.89,False
SH00142,DHL,2024-04-05,delivered,Delhi,Bangalore,218.71,False
SH00143,BLUEDART,2024-03-14,delayed,Pune,Bangalore,363.23,False
SH00144,DHL,2024-02-08,pending,Mumbai,Delhi,324.0,False
SH00145,DHL,2024-06-08,delivered,Mumbai,Bangalore,426.51,False
SH00146,BLUEDART,2024-01-01,in_transit,Chennai,Bangalore,306.8,False
SH00147,FEDEX,2024-04-30,in_transit,Mumbai,Delhi,491.47,False
SH00148,FEDEX,2024-03-26,in_transit,Chennai,Delhi,295.71,False
SH00149,FEDEX,2024-01-17,delayed,Delhi,Mumbai,66.64,False
SH00150,FEDEX,2024-05-19,delivered,Pune,Chennai,388.98,False
SH00151,BLUEDART,2024-04-04,in_transit,Pune,Mumbai,384.49,False
SH00152,FEDEX,2024-05-12,delivered,Delhi,Chennai,377.19,False
SH00153,BLUEDART,2024-03-24,in_transit,Pune,Mumbai,250.66,False
SH00154,FEDEX,2024-04-21,,Mumbai,Chennai,476.56,False
SH00155,BLUEDART,2024-06-04,delayed,Chennai,Delhi,65.66,False
SH00156,FEDEX,2024-06-22,in_transit,Hyderabad,Delhi,217.41,False
SH00158,FEDEX,2024-03-14,delayed,Delhi,Mumbai,140.08,False
SH00159,BLUEDART,2024-03-22,pending,Delhi,Bangalore,79.22,False
SH00160,BLUEDART,2024-02-01,,Chennai,Mumbai,112.49,False
SH00161,FEDEX,2024-01-23,in_transit,Delhi,Mumbai,499.82,False
SH00162,BLUEDART,2024-06-13,delayed,Mumbai,Bangalore,356.05,False
SH00163,BLUEDART,2024-02-03,,Hyderabad,Bangalore,74.94,False
SH00164,FEDEX,2024-05-12,,Chennai,Mumbai,85.49,False
SH00165,BLUEDART,2024-02-13,delayed,Pune,Delhi,119.39,False
SH00166,BLUEDART,2024-06-13,in_transit,Mumbai,Delhi,343.01,False
SH00167,FEDEX,2024-03-18,,Hyderabad,Mumbai,413.31,False
SH00168,DHL,2024-02-22,delivered,Delhi,Pune,190.66,False
SH00169,FEDEX,2024-01-28,delayed,Chennai,Mumbai,105.13,False
SH00170,FEDEX,2024-02-10,delayed,Hyderabad,Chennai,374.51,False
SH00171,FEDEX,2024-01-24,delayed,Delhi,Chennai,255.75,False
SH00172,FEDEX,2024-01-03,in_transit,Delhi,Pune,110.27,False
SH00173,DHL,2024-02-19,in_transit,Delhi,Bangalore,83.09,False
SH00174,BLUEDART,2024-01-25,,Hyderabad,Delhi,494.05,False
SH00175,BLUEDART,2024-01-12,pending,Hyderabad,Chennai,199.87,False
SH00176,BLUEDART,2024-03-22,delayed,Chennai,Mumbai,382.69,False
SH00177,BLUEDART,2024-01-05,pending,Delhi,Chennai,99.32,False
SH00178,BLUEDART,2024-06-16,,Mumbai,Pune,310.31,False
SH00179,BLUEDART,2024-06-23,delayed,Hyderabad,Chennai,476.69,False
SH00180,DHL,2024-06-05,,Delhi,Mumbai,431.77,False
SH00181,BLUEDART,2024-03-21,delayed,Pune,Chennai,460.46,False
SH00182,BLUEDART,2024-03-04,in_transit,Pune,Chennai,151.19,False
SH00183,DHL,2024-05-23,,Delhi,Chennai,374.75,False
SH00184,FEDEX,2024-03-14,delivered,Pune,Bangalore,205.86,False
SH00185,DHL,2024-06-27,delivered,Hyderabad,Mumbai,327.05,False
SH00186,BLUEDART,2024-04-15,delayed,Chennai,Bangalore,3651.06,True
SH00187,FEDEX,2024-03-14,pending,Delhi,Pune,76.62,False
SH00188,BLUEDART,2024-02-15,delivered,Mumbai,Bangalore,498.73,False
SH00189,FEDEX,2024-06-03,in_transit,Mumbai,Delhi,178.05,False
SH00190,DHL,2024-01-29,pending,Hyderabad,Chennai,256.51,False
SH00191,FEDEX,2024-06-12,,Hyderabad,Bangalore,242.47,False
SH00192,DHL,2024-01-02,in_transit,Delhi,Chennai,251.03,False
SH00193,BLUEDART,2024-06-26,pending,Mumbai,Chennai,103.2,False
SH00194,BLUEDART,2024-03-16,in_transit,Pune,Delhi,148.61,False
SH00195,BLUEDART,2024-04-30,,Pune,Chennai,348.84,False
SH00196,DHL,2024-04-02,delayed,Hyderabad,Chennai,100.49,False
SH00197,BLUEDART,2024-05-13,pending,Chennai,Bangalore,142.43,False
SH00198,DHL,2024-04-26,delayed,Delhi,Mumbai,258.07,False
SH00199,DHL,2024-03-29,delayed,Chennai,Delhi,497.36,False
SH00200,DHL,2024-02-04,pending,Pune,Chennai,340.65,False
SH00201,FEDEX,2024-06-18,delivered,Delhi,Bangalore,344.09,False
SH00202,BLUEDART,2024-01-06,delayed,Chennai,Bangalore,353.07,False
SH00203,DHL,2024-02-18,pending,Delhi,Chennai,394.47,False
SH00204,DHL,2024-06-01,delayed,Chennai,Bangalore,352.41,False
SH00205,FEDEX,2024-01-15,in_transit,Chennai,Bangalore,155.37,False
SH00206,BLUEDART,2024-02-06,delayed,Pune,Bangalore,149.47,False
SH00207,BLUEDART,2024-01-13,pending,Chennai,Pune,352.1,False
SH00208,DHL,2024-05-17,,Pune,Chennai,151.41,False
SH00209,DHL,2024-05-22,in_transit,Hyderabad,Chennai,159.29,False
SH00210,FEDEX,2024-04-06,delayed,Mumbai,Bangalore,67.8,False
SH00211,BLUEDART,2024-03-26,delivered,Hyderabad,Bangalore,145.31,False
SH00212,FEDEX,2024-03-02,,Chennai,Bangalore,177.38,False
SH00213,FEDEX,2024-04-30,in_transit,Hyderabad,Chennai,461.45,False
SH00214,DHL,2024-05-29,in_transit,Chennai,Delhi,182.84,False
SH00215,DHL,2024-05-05,pending,Delhi,Chennai,382.82,False
SH00216,DHL,2024-05-18,delivered,Hyderabad,Chennai,285.77,False
SH00217,DHL,2024-06-10,pending,Mumbai,Pune,117.96,False
SH00219,FEDEX,2024-02-15,delivered,Mumbai,Pune,285.97,False
SH00220,FEDEX,2024-04-13,in_transit,Pune,Chennai,495.6,False
SH00221,BLUEDART,2024-04-06,delivered,Mumbai,Delhi,336.54,False
SH00222,BLUEDART,2024-01-11,,Pune,Delhi,361.53,False
SH00224,DHL,2024-05-25,in_transit,Pune,Bangalore,354.67,False
SH00225,BLUEDART,2024-04-21,delivered,Mumbai,Chennai,203.27,False
SH00226,FEDEX,2024-04-25,in_transit,Mumbai,Chennai,298.87,False
SH00227,FEDEX,2024-01-19,delivered,Mumbai,Chennai,221.0,False
SH00229,BLUEDART,2024-01-23,delivered,Hyderabad,Chennai,318.62,False
SH00231,FEDEX,2024-01-20,in_transit,Pune,Chennai,374.4,False
SH00232,DHL,2024-03-26,in_transit,Pune,Delhi,411.83,False
SH00233,BLUEDART,2024-06-03,in_transit,Hyderabad,Bangalore,265.55,False
SH00234,BLUEDART,2024-03-12,in_transit,Delhi,Mumbai,214.26,False
SH00235,DHL,2024-04-28,in_transit,Hyderabad,Delhi,247.3,False
SH00236,FEDEX,2024-03-02,delivered,Delhi,Mumbai,371.86,False
SH00237,FEDEX,2024-06-26,delivered,Hyderabad,Chennai,405.82,False
SH00238,BLUEDART,2024-06-17,delivered,Mumbai,Delhi,341.15,False
SH00239,FEDEX,2024-01-26,delayed,Pune,Chennai,386.08,False
SH00240,FEDEX,2024-05-30,delivered,Delhi,Pune,205.24,False
SH00241,DHL,2024-03-28,in_transit,Mumbai,Bangalore,284.5,False
SH00243,DHL,2024-03-25,delayed,Hyderabad,Bangalore,154.33,False
SH00244,FEDEX,2024-02-20,in_transit,Delhi,Bangalore,224.98,False
SH00245,DHL,2024-05-17,in_transit,Hyderabad,Delhi,138.68,False
SH00246,BLUEDART,2024-05-30,in_transit,Pune,Chennai,430.48,False
SH00247,FEDEX,2024-02-04,in_transit,Hyderabad,Pune,187.42,False
SH00248,FEDEX,2024-04-18,pending,Hyderabad,Bangalore,291.82,False
SH00249,DHL,2024-03-21,delayed,Delhi,Chennai,2409.6,False
SH00250,BLUEDART,2024-05-05,,Hyderabad,Chennai,249.73,False
SH00251,DHL,2024-05-17,,Pune,Delhi,255.79,False
SH00252,DHL,2024-05-19,in_transit,Hyderabad,Delhi,293.92,False
SH00253,DHL,2024-06-16,in_transit,Delhi,Bangalore,443.66,False
SH00254,DHL,2024-03-01,pending,Delhi,Bangalore,314.57,False
SH00255,DHL,2024-02-22,delayed,Hyderabad,Bangalore,207.87,False
SH00256,BLUEDART,2024-05-11,pending,Pune,Mumbai,416.83,False
SH00257,DHL,2024-02-03,pending,Pune,Bangalore,194.94,False
SH00258,DHL,2024-04-06,pending,Hyderabad,Mumbai,407.57,False
SH00259,BLUEDART,2024-03-24,,Pune,Chennai,398.36,False
SH00260,BLUEDART,2024-04-11,in_transit,Pune,Delhi,421.18,False
SH00261,BLUEDART,2024-05-04,pending,Hyderabad,Bangalore,393.01,False
SH00262,DHL,2024-01-01,in_transit,Mumbai,Bangalore,141.04,False
SH00263,DHL,2024-03-05,pending,Pune,Delhi,456.71,False
SH00265,DHL,2024-04-18,delayed,Pune,Delhi,81.87,False
SH00266,FEDEX,2024-02-04,pending,Pune,Mumbai,3950.06,True
SH00267,BLUEDART,2024-06-06,,Chennai,Bangalore,147.76,False
SH00268,BLUEDART,2024-03-21,in_transit,Delhi,Chennai,174.64,False
SH00269,BLUEDART,2024-06-17,in_transit,Pune,Delhi,282.99,False
SH00270,DHL,2024-03-02,delayed,Chennai,Pune,81.96,False
SH00271,FEDEX,2024-05-25,delayed,Chennai,Pune,357.32,False
SH00273,FEDEX,2024-05-17,delivered,Delhi,Pune,174.86,False
SH00274,DHL,2024-06-11,pending,Hyderabad,Mumbai,356.48,False
SH00275,DHL,2024-04-21,delayed,Mumbai,Bangalore,323.97,False
SH00276,DHL,2024-02-11,in_transit,Mumbai,Bangalore,285.35,False
SH00277,DHL,2024-01-08,in_transit,Pune,Delhi,172.39,False
SH00278,DHL,2024-01-15,delayed,Delhi,Pune,125.1,False
SH00279,BLUEDART,2024-01-01,,Mumbai,Bangalore,55.53,False
SH00280,DHL,2024-03-04,pending,Mumbai,Pune,193.97,False
SH00281,BLUEDART,2024-05-12,in_transit,Mumbai,Bangalore,81.02,False
SH00284,DHL,2024-05-15,in_transit,Delhi,Chennai,271.41,False
SH00285,DHL,2024-05-13,in_transit,Mumbai,Bangalore,256.31,False
SH00286,BLUEDART,2024-01-16,delivered,Delhi,Bangalore,156.55,False
SH00287,BLUEDART,2024-02-29,in_transit,Pune,Mumbai,111.25,False
SH00288,FEDEX,2024-05-17,,Delhi,Chennai,143.44,False
SH00289,DHL,2024-03-24,pending,Pune,Delhi,161.7,False
SH00290,FEDEX,2024-04-25,delayed,Chennai,Delhi,162.43,False
SH00291,DHL,2024-04-12,pending,Mumbai,Bangalore,471.91,False
SH00292,DHL,2024-06-14,delivered,Mumbai,Delhi,91.39,False
SH00293,FEDEX,2024-04-20,in_transit,Mumbai,Bangalore,273.26,False
SH00294,DHL,2024-02-08,delayed,Pune,Mumbai,327.64,False
SH00295,FEDEX,2024-02-05,pending,Mumbai,Delhi,448.09,False
SH00296,DHL,2024-05-04,delayed,Delhi,Chennai,276.08,False
SH00297,DHL,2024-04-30,,Mumbai,Chennai,312.8,False
SH00298,DHL,2024-02-26,,Pune,Delhi,224.79,False
SH00299,DHL,2024-06-27,delayed,Hyderabad,Mumbai,62.69,False
SH00300,BLUEDART,2024-02-14,delivered,Chennai,Pune,75.28,False
SH00301,FEDEX,2024-03-28,,Hyderabad,Bangalore,429.93,False
SH00302,DHL,2024-04-05,pending,Mumbai,Chennai,228.02,False
SH00303,DHL,2024-02-14,delayed,Delhi,Pune,362.1,False
SH00304,BLUEDART,2024-06-25,delivered,Chennai,Pune,377.97,False
SH00305,BLUEDART,2024-06-05,delayed,Mumbai,Bangalore,96.85,False
SH00306,FEDEX,2024-01-23,pending,Pune,Bangalore,337.6,False
SH00307,DHL,2024-01-28,delivered,Mumbai,Chennai,223.67,False
SH00308,FEDEX,2024-01-26,,Delhi,Chennai,438.82,False
SH00309,DHL,2024-03-07,delivered,Mumbai,Chennai,203.81,False
SH00310,DHL,2024-04-20,delivered,Pune,Chennai,323.29,False
SH00311,DHL,2024-03-17,delivered,Delhi,Chennai,226.81,False
SH00312,DHL,2024-06-18,delayed,Delhi,Bangalore,139.85,False
SH00313,DHL,2024-04-11,pending,Delhi,Bangalore,169.25,False
SH00314,FEDEX,2024-03-08,in_transit,Pune,Bangalore,151.81,False
SH00315,BLUEDART,2024-05-18,,Mumbai,Delhi,315.38,False
SH00316,FEDEX,2024-03-01,delivered,Hyderabad,Chennai,227.66,False
SH00317,BLUEDART,2024-04-24,delivered,Hyderabad,Pune,487.47,False
SH00318,BLUEDART,2024-06-09,delayed,Delhi,Mumbai,166.05,False
SH00319,FEDEX,2024-03-11,,Hyderabad,Chennai,55.56,False
SH00320,DHL,2024-05-30,delivered,Delhi,Mumbai,466.22,False
SH00321,BLUEDART,2024-06-16,delayed,Pune,Chennai,262.87,False
SH00322,BLUEDART,2024-03-25,delivered,Delhi,Bangalore,385.59,False
SH00323,FEDEX,2024-06-27,,Pune,Mumbai,152.58,False
SH00324,FEDEX,2024-01-23,in_transit,Pune,Chennai,461.04,False
SH00325,FEDEX,2024-05-09,,Mumbai,Bangalore,433.08,False
SH00326,DHL,2024-01-13,pending,Mumbai,Bangalore,139.6,False
SH00327,DHL,2024-06-01,,Mumbai,Bangalore,263.56,False
SH00328,FEDEX,2024-01-13,delayed,Mumbai,Chennai,400.92,False
SH00330,FEDEX,2024-03-30,in_transit,Pune,Chennai,260.01,False
SH00331,DHL,2024-06-01,in_transit,Mumbai,Chennai,357.99,False
SH00332,FEDEX,2024-06-15,delivered,Pune,Mumbai,282.78,False
SH00333,BLUEDART,2024-01-07,in_transit,Delhi,Chennai,166.74,False
SH00334,BLUEDART,2024-02-26,pending,Hyderabad,Bangalore,403.2,False
SH00335,DHL,2024-04-30,in_transit,Hyderabad,Bangalore,376.33,False
SH00336,FEDEX,2024-03-19,in_transit,Mumbai,Bangalore,217.26,False
SH00337,DHL,2024-01-19,in_transit,Hyderabad,Pune,275.21,False
SH00338,DHL,2024-03-28,delayed,Chennai,Bangalore,451.78,False
SH00339,DHL,2024-02-15,delivered,Mumbai,Pune,52.12,False
SH00340,DHL,2024-04-21,in_transit,Delhi,Bangalore,3601.35,True
SH00342,BLUEDART,2024-01-12,in_transit,Hyderabad,Mumbai,255.17,False
SH00343,BLUEDART,2024-05-05,in_transit,Chennai,Mumbai,124.2,False
SH00345,FEDEX,2024-01-13,pending,Hyderabad,Pune,426.25,False
SH00346,DHL,2024-02-09,pending,Hyderabad,Mumbai,333.64,False
SH00347,FEDEX,2024-04-17,delivered,Hyderabad,Pune,280.21,False
SH00348,FEDEX,2024-05-13,in_transit,Chennai,Bangalore,366.55,False
SH00349,DHL,2024-01-04,delivered,Delhi,Chennai,425.85,False
SH00350,BLUEDART,2024-06-13,in_transit,Mumbai,Delhi,168.86,False
SH00351,FEDEX,2024-01-30,,Pune,Mumbai,-43.22,False
SH00352,FEDEX,2024-01-24,in_transit,Hyderabad,Mumbai,132.29,False
SH00353,FEDEX,2024-02-12,pending,Delhi,Pune,376.89,False
SH00354,BLUEDART,2024-04-07,delayed,Delhi,Pune,62.97,False
SH00355,DHL,2024-04-15,delivered,Delhi,Pune,167.73,False
SH00356,BLUEDART,2024-06-20,delayed,Hyderabad,Pune,285.4,False
SH00357,DHL,2024-06-13,,Delhi,Chennai,421.9,False
SH00359,BLUEDART,2024-01-21,,Delhi,Pune,307.87,False
SH00360,FEDEX,2024-01-10,delivered,Mumbai,Delhi,421.66,False
SH00361,BLUEDART,2024-04-26,in_transit,Hyderabad,Bangalore,421.39,False
SH00362,BLUEDART,2024-04-03,delivered,Hyderabad,Chennai,3065.42,True
SH00363,FEDEX,2024-01-28,delivered,Hyderabad,Pune,271.59,False
SH00364,FEDEX,2024-04-10,,Hyderabad,Bangalore,401.64,False
SH00365,BLUEDART,2024-04-25,delayed,Hyderabad,Delhi,480.29,False
SH00366,DHL,2024-05-03,,Hyderabad,Chennai,464.52,False
SH00367,DHL,2024-06-04,delayed,Mumbai,Pune,446.63,False
SH00368,DHL,2024-03-16,delivered,Pune,Chennai,112.18,False
SH00369,BLUEDART,2024-05-21,in_transit,Hyderabad,Mumbai,144.37,False
SH00370,DHL,2024-03-31,delayed,Chennai,Mumbai,306.79,False
SH00371,BLUEDART,2024-05-13,in_transit,Pune,Chennai,115.4,False
SH00372,DHL,2024-01-16,in_transit,Pune,Mumbai,141.8,False
SH00373,BLUEDART,2024-05-23,delayed,Hyderabad,Bangalore,402.94,False
SH00374,FEDEX,2024-06-24,delayed,Delhi,Pune,74.21,False
SH00375,FEDEX,2024-05-19,in_transit,Chennai,Mumbai,399.27,False
SH00376,BLUEDART,2024-05-11,delivered,Mumbai,Bangalore,242.83,False
SH00377,FEDEX,2024-02-09,in_transit,Mumbai,Chennai,318.6,False
SH00378,FEDEX,2024-03-22,delivered,Delhi,Chennai,284.27,False
SH00379,FEDEX,2024-02-24,in_transit,Mumbai,Chennai,212.36,False
SH00380,BLUEDART,2024-04-24,pending,Mumbai,Delhi,326.17,False
SH00381,FEDEX,2024-05-18,delivered,Delhi,Bangalore,460.1,False
SH00382,FEDEX,2024-06-15,delayed,Delhi,Bangalore,87.06,False
SH00383,BLUEDART,2024-06-10,,Mumbai,Delhi,358.43,False
SH00385,BLUEDART,2024-04-14,pending,Mumbai,Bangalore,232.0,False
SH00386,DHL,2024-05-29,,Hyderabad,Delhi,82.67,False
SH00387,FEDEX,2024-04-22,,Hyderabad,Delhi,347.33,False
SH00388,FEDEX,2024-02-06,,Hyderabad,Mumbai,440.21,False
SH00390,FEDEX,2024-05-11,delivered,Chennai,Pune,149.35,False
